id,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau
1,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,5.883.287.671.232.870,3.106.849.315.068.490,1,0,0,0,2.0,FALSE
2,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,5.235.616.438.356.160,835.890.410.958.904,1,0,1,1,1.0,FALSE
3,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,5.235.616.438.356.160,835.890.410.958.904,1,0,1,1,1.0,FALSE
4,M,Y,Y,0,Working,Higher education,Married,House / apartment,46.224.657.534.246.500,2.106.849.315.068.490,1,1,1,1,2.0,FALSE
5,F,Y,N,0,Working,Incomplete higher,Married,House / apartment,2.923.013.698.630.130,3.021.917.808.219.170,1,0,0,0,2.0,FALSE
6,F,Y,N,0,Working,Incomplete higher,Married,House / apartment,2.923.013.698.630.130,3.021.917.808.219.170,1,0,0,0,2.0,FALSE
7,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,2.748.219.178.082.190,4.024.657.534.246.570,1,0,1,0,2.0,FALSE
8,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,2.748.219.178.082.190,4.024.657.534.246.570,1,0,1,0,2.0,FALSE
9,F,N,Y,1,Working,Secondary / secondary special,Single / not married,House / apartment,3.004.931.506.849.310,4.438.356.164.383.560,1,0,0,0,2.0,FALSE
10,F,N,Y,1,Working,Secondary / secondary special,Single / not married,House / apartment,3.004.931.506.849.310,4.438.356.164.383.560,1,0,0,0,2.0,FALSE
11,M,Y,Y,3,Working,Secondary / secondary special,Married,House / apartment,3.476.438.356.164.380,3.186.301.369.863.010,1,0,0,0,5.0,FALSE
12,M,N,Y,1,Commercial associate,Higher education,Married,House / apartment,3.244.383.561.643.830,5.523.287.671.232.870,1,0,0,0,3.0,FALSE
13,M,N,Y,1,Commercial associate,Higher education,Married,House / apartment,3.244.383.561.643.830,5.523.287.671.232.870,1,0,0,0,3.0,FALSE
14,M,N,Y,1,Commercial associate,Higher education,Married,House / apartment,3.244.383.561.643.830,5.523.287.671.232.870,1,0,0,0,3.0,FALSE
15,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,5.616.986.301.369.860,12.191.780.821.917.800,1,0,1,0,2.0,FALSE
16,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,5.616.986.301.369.860,12.191.780.821.917.800,1,0,1,0,2.0,FALSE
17,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,5.616.986.301.369.860,12.191.780.821.917.800,1,0,1,0,2.0,FALSE
18,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,5.616.986.301.369.860,12.191.780.821.917.800,1,0,1,0,2.0,FALSE
19,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,5.616.986.301.369.860,12.191.780.821.917.800,1,0,1,0,2.0,FALSE
20,F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,4.318.082.191.780.820,8.693.150.684.931.500,1,0,0,0,4.0,FALSE
21,F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,4.318.082.191.780.820,8.693.150.684.931.500,1,0,0,0,4.0,FALSE
22,F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,4.318.082.191.780.820,8.693.150.684.931.500,1,0,0,0,4.0,FALSE
23,F,N,Y,1,State servant,Secondary / secondary special,Civil marriage,House / apartment,4.441.643.835.616.430,1.944.931.506.849.310,1,0,0,0,3.0,FALSE
24,F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,340.027.397.260.274,4.857.534.246.575.340,1,0,0,1,4.0,FALSE
25,F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,340.027.397.260.274,4.857.534.246.575.340,1,0,0,1,4.0,FALSE
26,F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,340.027.397.260.274,4.857.534.246.575.340,1,0,0,1,4.0,FALSE
27,F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,340.027.397.260.274,4.857.534.246.575.340,1,0,0,1,4.0,FALSE
28,F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,340.027.397.260.274,4.857.534.246.575.340,1,0,0,1,4.0,FALSE
29,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,553.041.095.890.411,-10.006.657.534.246.500,1,0,0,0,1.0,FALSE
30,F,N,Y,0,Commercial associate,Higher education,Separated,Rented apartment,4.661.917.808.219.170,3.690.410.958.904.100,1,0,0,0,1.0,FALSE
31,F,N,Y,0,Commercial associate,Higher education,Separated,Rented apartment,4.661.917.808.219.170,3.690.410.958.904.100,1,0,0,0,1.0,FALSE
32,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
33,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
34,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
35,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
36,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
37,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
38,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
39,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
40,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
41,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
42,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
43,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
44,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
45,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,4.251.780.821.917.800,8.860.273.972.602.730,1,0,0,0,1.0,FALSE
46,F,N,N,0,Commercial associate,Higher education,Married,House / apartment,3.737.534.246.575.340,13.276.712.328.767.100,1,0,1,0,2.0,FALSE
47,F,N,N,0,Commercial associate,Higher education,Married,House / apartment,3.737.534.246.575.340,13.276.712.328.767.100,1,0,1,0,2.0,FALSE
48,F,N,N,0,Commercial associate,Higher education,Married,House / apartment,3.737.534.246.575.340,13.276.712.328.767.100,1,0,1,0,2.0,FALSE
49,M,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,2.827.671.232.876.710,7.693.150.684.931.500,1,0,0,0,3.0,FALSE
50,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,4.872.602.739.726.020,469.041.095.890.411,1,0,0,0,2.0,FALSE
51,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,4.872.602.739.726.020,469.041.095.890.411,1,0,0,0,2.0,FALSE
52,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,4.872.602.739.726.020,469.041.095.890.411,1,0,0,0,2.0,FALSE
53,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,4.872.602.739.726.020,469.041.095.890.411,1,0,0,0,2.0,FALSE
54,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,4.872.602.739.726.020,469.041.095.890.411,1,0,0,0,2.0,FALSE
55,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,4.390.958.904.109.580,24.356.164.383.561.600,1,0,1,0,2.0,FALSE
56,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,6.114.794.520.547.940,-10.006.657.534.246.500,1,0,0,0,2.0,FALSE
57,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,6.114.794.520.547.940,-10.006.657.534.246.500,1,0,0,0,2.0,FALSE
58,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,6.114.794.520.547.940,-10.006.657.534.246.500,1,0,0,0,2.0,FALSE
59,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,6.114.794.520.547.940,-10.006.657.534.246.500,1,0,0,0,2.0,FALSE
60,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,6.114.794.520.547.940,-10.006.657.534.246.500,1,0,0,0,2.0,FALSE
61,F,Y,Y,0,Working,Secondary / secondary special,Separated,House / apartment,4.543.013.698.630.130,3.271.232.876.712.320,1,1,1,0,1.0,FALSE
62,F,Y,Y,0,Working,Secondary / secondary special,Separated,House / apartment,4.543.013.698.630.130,3.271.232.876.712.320,1,1,1,0,1.0,FALSE
63,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,5.185.205.479.452.050,17.194.520.547.945.200,1,1,1,0,2.0,FALSE
64,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,5.185.205.479.452.050,17.194.520.547.945.200,1,1,1,0,2.0,FALSE
65,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,5.185.205.479.452.050,17.194.520.547.945.200,1,1,1,0,2.0,FALSE
66,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,5.185.205.479.452.050,17.194.520.547.945.200,1,1,1,0,2.0,FALSE
67,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,5.185.205.479.452.050,17.194.520.547.945.200,1,1,1,0,2.0,FALSE
68,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,5.185.205.479.452.050,17.194.520.547.945.200,1,1,1,0,2.0,FALSE
69,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,5.185.205.479.452.050,17.194.520.547.945.200,1,1,1,0,2.0,FALSE
70,F,N,Y,2,State servant,Higher education,Married,House / apartment,4.231.232.876.712.320,8.526.027.397.260.270,1,0,0,1,4.0,FALSE
71,F,N,Y,2,State servant,Higher education,Married,House / apartment,4.231.232.876.712.320,8.526.027.397.260.270,1,0,0,1,4.0,FALSE
72,F,N,Y,2,State servant,Higher education,Married,House / apartment,4.231.232.876.712.320,8.526.027.397.260.270,1,0,0,1,4.0,FALSE
73,F,N,Y,2,State servant,Higher education,Married,House / apartment,4.231.232.876.712.320,8.526.027.397.260.270,1,0,0,1,4.0,FALSE
74,F,N,Y,2,State servant,Higher education,Married,House / apartment,4.231.232.876.712.320,8.526.027.397.260.270,1,0,0,1,4.0,FALSE
75,F,N,Y,2,State servant,Higher education,Married,House / apartment,4.231.232.876.712.320,8.526.027.397.260.270,1,0,0,1,4.0,FALSE
76,F,N,Y,2,State servant,Higher education,Married,House / apartment,4.231.232.876.712.320,8.526.027.397.260.270,1,0,0,1,4.0,FALSE
77,F,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,5.441.369.863.013.690,2.970.684.931.506.840,1,0,0,1,2.0,FALSE
78,F,N,N,0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,5.118.356.164.383.560,-10.006.657.534.246.500,1,0,0,0,2.0,FALSE
79,F,N,Y,2,Working,Higher education,Married,House / apartment,3.012.876.712.328.760,6.271.232.876.712.320,1,0,0,1,4.0,FALSE
80,F,N,Y,2,Working,Higher education,Married,House / apartment,3.012.876.712.328.760,6.271.232.876.712.320,1,0,0,1,4.0,FALSE
81,F,N,Y,2,Working,Higher education,Married,House / apartment,3.012.876.712.328.760,6.271.232.876.712.320,1,0,0,1,4.0,FALSE
82,F,N,Y,2,Working,Higher education,Married,House / apartment,3.012.876.712.328.760,6.271.232.876.712.320,1,0,0,1,4.0,FALSE
83,F,N,Y,2,Working,Higher education,Married,House / apartment,3.012.876.712.328.760,6.271.232.876.712.320,1,0,0,1,4.0,FALSE
84,M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,2.427.671.232.876.710,24.356.164.383.561.600,1,1,0,0,1.0,FALSE
85,M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,2.863.013.698.630.130,569.041.095.890.411,1,0,0,0,2.0,FALSE
86,M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,2.863.013.698.630.130,569.041.095.890.411,1,0,0,0,2.0,FALSE
87,M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,2.863.013.698.630.130,569.041.095.890.411,1,0,0,0,2.0,FALSE
88,F,Y,Y,0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,2.812.054.794.520.540,8.693.150.684.931.500,1,0,1,1,2.0,FALSE
89,F,Y,Y,1,State servant,Higher education,Married,House / apartment,4.856.438.356.164.380,19.397.260.273.972.600,1,0,1,1,3.0,FALSE
90,M,N,Y,1,Working,Secondary / secondary special,Married,With parents,3.869.041.095.890.410,35.232.876.712.328.700,1,0,0,0,3.0,FALSE
91,F,N,Y,0,Working,Higher education,Civil marriage,House / apartment,27.572.602.739.726.000,8.693.150.684.931.500,1,0,0,1,2.0,FALSE
92,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,5.624.931.506.849.310,156.986.301.369.863,1,0,0,0,2.0,FALSE
93,M,Y,N,2,Commercial associate,Higher education,Married,House / apartment,4.035.616.438.356.160,8.189.041.095.890.410,1,0,0,0,4.0,FALSE
94,M,Y,N,2,Commercial associate,Higher education,Married,House / apartment,4.035.616.438.356.160,8.189.041.095.890.410,1,0,0,0,4.0,FALSE
95,F,N,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,3.747.671.232.876.710,1.203.013.698.630.130,1,0,0,1,3.0,FALSE
96,F,N,Y,0,Working,Higher education,Separated,House / apartment,3.635.890.410.958.900,15.205.479.452.054.700,1,0,0,0,1.0,FALSE
97,M,Y,Y,2,Working,Secondary / secondary special,Married,With parents,3.523.013.698.630.130,11.112.328.767.123.200,1,0,1,0,4.0,FALSE
98,M,Y,Y,2,Working,Secondary / secondary special,Married,With parents,3.523.013.698.630.130,11.112.328.767.123.200,1,0,1,0,4.0,FALSE
99,F,N,N,0,Commercial associate,Higher education,Separated,With parents,4.311.506.849.315.060,11.835.616.438.356.100,1,0,0,0,1.0,FALSE
100,F,N,N,0,Commercial associate,Higher education,Separated,With parents,4.311.506.849.315.060,11.835.616.438.356.100,1,0,0,0,1.0,FALSE
101,F,N,N,0,Commercial associate,Higher education,Separated,With parents,4.311.506.849.315.060,11.835.616.438.356.100,1,0,0,0,1.0,FALSE
102,F,N,N,0,Commercial associate,Higher education,Separated,With parents,4.311.506.849.315.060,11.835.616.438.356.100,1,0,0,0,1.0,FALSE
103,F,N,N,0,Commercial associate,Higher education,Separated,With parents,4.311.506.849.315.060,11.835.616.438.356.100,1,0,0,0,1.0,FALSE
104,F,N,N,0,Commercial associate,Higher education,Separated,With parents,4.311.506.849.315.060,11.835.616.438.356.100,1,0,0,0,1.0,FALSE
105,F,N,N,0,Commercial associate,Higher education,Separated,With parents,4.311.506.849.315.060,11.835.616.438.356.100,1,0,0,0,1.0,FALSE
106,F,N,N,0,Commercial associate,Higher education,Separated,With parents,4.311.506.849.315.060,11.835.616.438.356.100,1,0,0,0,1.0,FALSE
107,F,N,N,0,Commercial associate,Higher education,Separated,With parents,4.311.506.849.315.060,11.835.616.438.356.100,1,0,0,0,1.0,FALSE
108,M,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,5.937.808.219.178.080,-10.006.657.534.246.500,1,0,0,0,1.0,FALSE
109,F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,26.457.534.246.575.300,4.273.972.602.739.720,1,1,1,0,2.0,FALSE
